Расчет 1			Расчет 2			Расчет 3			Расчет 4			Расчет 5			Расчет 6			Расчет 7			Расчет 8			Расчет 9			Расчет 10			Расчет 11			Расчет 12			Расчет 13			Расчет 14			Расчет 15			Расчет 16			Расчет 17			Расчет 18			Расчет 19			Расчет 20			Расчет 21			Расчет 22	
66	20,28		66	23,73		66	26,75		66	29,3		66	31,36		66	33,08		66	36,13		66	38,15		66	40,49		66	41,76		66	42,59		26,95	20,28		26,95	24,39		26,95	28,48		26,95	32,44		26,95	36,08		26,95	39,41		26,95	46,04		26,95	50,93		26,95	57,11		26,95	60,66		26,95	63,05
67,2	20,28		67,2	23,76		67,2	26,82		67,2	29,4		67,2	31,51		67,2	33,26		67,2	36,38		67,2	38,44		67,2	40,84		67,2	42,15		67,2	43		27,44	20,28		27,44	24,39		27,44	28,49		27,44	32,47		27,44	36,14		27,44	39,5		27,44	46,22		27,44	51,2		27,44	57,51		27,44	61,15		27,44	63,61
68,4	20,28		68,4	23,79		68,4	26,89		68,4	29,51		68,4	31,65		68,4	33,44		68,4	36,62		68,4	38,74		68,4	41,21		68,4	42,55		68,4	43,43		27,93	20,28		27,93	24,4		27,93	28,5		27,93	32,5		27,93	36,19		27,93	39,59		27,93	46,41		27,93	51,47		27,93	57,92		27,93	61,65		27,93	64,17
69,6	20,28		69,6	23,82		69,6	26,96		69,6	29,61		69,6	31,79		69,6	33,62		69,6	36,87		69,6	39,04		69,6	41,58		69,6	42,96		69,6	43,87		28,42	20,28		28,42	24,4		28,42	28,51		28,42	32,52		28,42	36,24		28,42	39,68		28,42	46,59		28,42	51,75		28,42	58,34		28,42	62,16		28,42	64,76
70,8	20,28		70,8	23,85		70,8	27,02		70,8	29,72		70,8	31,94		70,8	33,8		70,8	37,13		70,8	39,35		70,8	41,96		70,8	43,38		70,8	44,32		28,91	20,28		28,91	24,4		28,91	28,52		28,91	32,55		28,91	36,29		28,91	39,76		28,91	46,78		28,91	52,03		28,91	58,77		28,91	62,69		28,91	65,36
72	20,28		72	23,88		72	27,09		72	29,83		72	32,09		72	33,98		72	37,39		72	39,67		72	42,36		72	43,82		72	44,79		29,4	20,28		29,4	24,4		29,4	28,53		29,4	32,57		29,4	36,35		29,4	39,85		29,4	46,96		29,4	52,32		29,4	59,21		29,4	63,23		29,4	65,97
73,2	20,28		73,2	23,91		73,2	27,16		73,2	29,93		73,2	32,23		73,2	34,17		73,2	37,66		73,2	40		73,2	42,76		73,2	44,27		73,2	45,27		29,89	20,28		29,89	24,4		29,89	28,54		29,89	32,6		29,89	36,4		29,89	39,94		29,89	47,15		29,89	52,61		29,89	59,66		29,89	63,79		29,89	66,61
74,4	20,28		74,4	23,94		74,4	27,22		74,4	30,04		74,4	32,38		74,4	34,36		74,4	37,93		74,4	40,34		74,4	43,18		74,4	44,74		74,4	45,77		30,38	20,28		30,38	24,4		30,38	28,55		30,38	32,62		30,38	36,45		30,38	40,02		30,38	47,34		30,38	52,9		30,38	60,12		30,38	64,36		30,38	67,26
75,6	20,28		75,6	23,97		75,6	27,29		75,6	30,15		75,6	32,53		75,6	34,55		75,6	38,21		75,6	40,68		75,6	43,61		75,6	45,22		75,6	46,28		30,87	20,28		30,87	24,41		30,87	28,55		30,87	32,64		30,87	36,5		30,87	40,1		30,87	47,53		30,87	53,2		30,87	60,59		30,87	64,95		30,87	67,94
76,8	20,28		76,8	23,99		76,8	27,35		76,8	30,25		76,8	32,68		76,8	34,74		76,8	38,49		76,8	41,03		76,8	44,05		76,8	45,71		76,8	46,82		31,36	20,28		31,36	24,41		31,36	28,56		31,36	32,67		31,36	36,54		31,36	40,19		31,36	47,72		31,36	53,5		31,36	61,07		31,36	65,55		31,36	68,63
78	20,28		78	24,02		78	27,41		78	30,36		78	32,83		78	34,94		78	38,78		78	41,39		78	44,5		78	46,23		78	47,37		31,85	20,28		31,85	24,41		31,85	28,57		31,85	32,69		31,85	36,59		31,85	40,27		31,85	47,91		31,85	53,81		31,85	61,56		31,85	66,17		31,85	69,35
79,2	20,28		79,2	24,05		79,2	27,48		79,2	30,47		79,2	32,99		79,2	35,13		79,2	39,07		79,2	41,76		79,2	44,97		79,2	46,76		79,2	47,94		32,34	20,28		32,34	24,41		32,34	28,58		32,34	32,71		32,34	36,63		32,34	40,35		32,34	48,1		32,34	54,12		32,34	62,07		32,34	66,81		32,34	70,09
80,4	20,28		80,4	24,07		80,4	27,54		80,4	30,58		80,4	33,14		80,4	35,34		80,4	39,37		80,4	42,14		80,4	45,46		80,4	47,3		80,4	48,53		32,83	20,28		32,83	24,41		32,83	28,58		32,83	32,73		32,83	36,68		32,83	40,43		32,83	48,3		32,83	54,43		32,83	62,58		32,83	67,47		32,83	70,85
81,6	20,28		81,6	24,1		81,6	27,6		81,6	30,68		81,6	33,29		81,6	35,54		81,6	39,68		81,6	42,53		81,6	45,96		81,6	47,87		81,6	49,15		33,32	20,28		33,32	24,42		33,32	28,59		33,32	32,75		33,32	36,72		33,32	40,51		33,32	48,49		33,32	54,75		33,32	63,11		33,32	68,15		33,32	71,64
82,8	20,28		82,8	24,12		82,8	27,66		82,8	30,79		82,8	33,45		82,8	35,74		82,8	39,99		82,8	42,93		82,8	46,48		82,8	48,46		82,8	49,79		33,81	20,28		33,81	24,42		33,81	28,59		33,81	32,77		33,81	36,76		33,81	40,59		33,81	48,68		33,81	55,07		33,81	63,66		33,81	68,85		33,81	72,46
84	20,28		84	24,14		84	27,72		84	30,89		84	33,6		84	35,95		84	40,31		84	43,34		84	47,01		84	49,07		84	50,45		34,3	20,28		34,3	24,42		34,3	28,6		34,3	32,78		34,3	36,81		34,3	40,66		34,3	48,88		34,3	55,4		34,3	64,21		34,3	69,57		34,3	73,31
85,2	20,28		85,2	24,16		85,2	27,77		85,2	31		85,2	33,76		85,2	36,16		85,2	40,64		85,2	43,77		85,2	47,57		85,2	49,71		85,2	51,15		34,79	20,28		34,79	24,42		34,79	28,61		34,79	32,8		34,79	36,85		34,79	40,74		34,79	49,07		34,79	55,73		34,79	64,78		34,79	70,31		34,79	74,19
86,4	20,28		86,4	24,19		86,4	27,83		86,4	31,1		86,4	33,92		86,4	36,37		86,4	40,97		86,4	44,2		86,4	48,14		86,4	50,37		86,4	51,87		35,28	20,28		35,28	24,42		35,28	28,61		35,28	32,82		35,28	36,88		35,28	40,81		35,28	49,27		35,28	56,07		35,28	65,37		35,28	71,08		35,28	75,1
87,6	20,28		87,6	24,21		87,6	27,89		87,6	31,2		87,6	34,07		87,6	36,58		87,6	41,31		87,6	44,65		87,6	48,74		87,6	51,06		87,6	52,62		35,77	20,28		35,77	24,42		35,77	28,62		35,77	32,83		35,77	36,92		35,77	40,89		35,77	49,46		35,77	56,41		35,77	65,97		35,77	71,88		35,77	76,05
88,8	20,28		88,8	24,23		88,8	27,94		88,8	31,3		88,8	34,23		88,8	36,79		88,8	41,66		88,8	45,11		88,8	49,35		88,8	51,77		88,8	53,41		36,26	20,28		36,26	24,43		36,26	28,62		36,26	32,85		36,26	36,96		36,26	40,96		36,26	49,66		36,26	56,76		36,26	66,59		36,26	72,7		36,26	77,03
90	20,28		90	24,24		90	27,99		90	31,4		90	34,38		90	37,01		90	42,01		90	45,58		90	50		90	52,52		90	54,23		36,75	20,28		36,75	24,43		36,75	28,63		36,75	32,86		36,75	36,99		36,75	41,03		36,75	49,85		36,75	57,11		36,75	67,23		36,75	73,56		36,75	78,06
91,2	20,28		91,2	24,26		91,2	28,04		91,2	31,5		91,2	34,54		91,2	37,23		91,2	42,38		91,2	46,07		91,2	50,66		91,2	53,3		91,2	55,1		37,24	20,28		37,24	24,43		37,24	28,63		37,24	32,88		37,24	37,03		37,24	41,09		37,24	50,05		37,24	57,46		37,24	67,88		37,24	74,44		37,24	79,13
92,4	20,28		92,4	24,28		92,4	28,09		92,4	31,6		92,4	34,69		92,4	37,44		92,4	42,75		92,4	46,57		92,4	51,36		92,4	54,12		92,4	56		37,73	20,28		37,73	24,43		37,73	28,64		37,73	32,89		37,73	37,06		37,73	41,16		37,73	50,24		37,73	57,82		37,73	68,56		37,73	75,36		37,73	80,24
